Image,,xmin,ymin,xmax,ymax,label
w1240-p16x9-CORONAVIRUS-CHINA-HEALTH-APPLE-STORE_jpg.rf.be787571980a1dd758e2d4d538c2c14e.jpg,,131,100,160,134,mask
w1240-p16x9-CORONAVIRUS-CHINA-HEALTH-APPLE-STORE_jpg.rf.be787571980a1dd758e2d4d538c2c14e.jpg,,285,156,321,194,mask
w1240-p16x9-CORONAVIRUS-CHINA-HEALTH-APPLE-STORE_jpg.rf.be787571980a1dd758e2d4d538c2c14e.jpg,,177,158,215,197,mask
w1240-p16x9-CORONAVIRUS-CHINA-HEALTH-APPLE-STORE_jpg.rf.be787571980a1dd758e2d4d538c2c14e.jpg,,309,173,350,216,mask
1477443223-1445746883_jpg.rf.c1b3c2d98a1340788b62fb77b5ed65d5.jpg,,255,99,386,262,mask
1477443223-1445746883_jpg.rf.c1b3c2d98a1340788b62fb77b5ed65d5.jpg,,13,109,125,238,mask
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.be080e946fd8f659dca808d698937e33.jpg,,73,185,149,271,mask
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.be080e946fd8f659dca808d698937e33.jpg,,156,159,238,243,mask
skynews-coronavirus-london-fashion-week_4920359_jpg.rf.be080e946fd8f659dca808d698937e33.jpg,,283,149,363,238,mask
0002526673_jpg.rf.bf8587709fd1a85cfe7194d6a6c61e5e.jpg,,69,164,86,182,mask
0002526673_jpg.rf.bf8587709fd1a85cfe7194d6a6c61e5e.jpg,,158,143,206,200,mask
shutterstock_1145933543-e1579497052960_jpg.rf.ba759c8dc24ec7c96431361a97622ec7.jpg,,209,82,335,235,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,289,114,300,127,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,38,217,52,234,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,61,235,74,252,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,0,190,12,207,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,44,189,63,206,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,23,186,37,202,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,31,104,44,116,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,31,112,42,125,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,64,162,77,178,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,48,159,62,175,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,96,123,107,135,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,87,135,98,149,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,52,137,65,152,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,83,127,94,140,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,103,137,115,151,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,119,133,131,146,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,138,122,149,138,no-mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,101,168,115,184,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,135,158,150,175,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,147,137,160,153,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,128,113,140,127,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,104,99,114,110,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,118,91,128,103,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,127,82,136,94,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,145,63,154,73,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,142,73,151,84,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,157,75,167,87,mask
0_8w7mkX-PHcfMM5s6_jpeg_jpg.rf.ba78b0fdc3e0586bd4422846fe56a883.jpg,,162,89,172,100,no-mask
